live_id,date,slug,url_path,title,redirect_map_status,note
83,2012-11-03,панчарево,/sabitia/панчарево/,Панчарево,410,hierarchical (/sabitia/)
100,2012-11-06,железница,/sabitia/железница/,Железница,410,hierarchical (/sabitia/)
211,2012-11-11,runbg-trail-series-панчарево,/runbg-trail-series-панчарево/,RunBG Trail Series: Панчарево,410,
230,2012-11-23,pasarel,/sabitia/pasarel/,Пасарел,410,hierarchical (/sabitia/)
456,2013-01-04,zheleznitsa-2-0,/sabitia/zheleznitsa-2-0/,Железница 2.0,410,hierarchical (/sabitia/)
587,2013-02-08,lokorsko,/lokorsko/,Локорско,410,
668,2013-03-12,bankia,/sabitia/bankia/,Банкя,410,hierarchical (/sabitia/)
766,2013-04-05,vladaya,/sabitia/vladaya/,Владая,410,hierarchical (/sabitia/)
848,2013-05-08,buhovo-run,/buhovo-run/,Buhovo Run,410,
896,2013-05-28,buhovo-run-2,/buhovo-run-2/,Buhovo Run,410,
910,2013-06-03,pasarel-run,/pasarel-run/,Pasarel Run,410,
1006,2013-06-19,pasarel-run-2,/pasarel-run-2/,Pasarel Run,410,
1013,2013-06-25,heat-stroke-run,/heat-stroke-run/,Heat Stroke Run,410,
1098,2013-07-19,maliovitsa-skyrun,/maliovitsa-skyrun/,Maliovitsa skyrun,410,
1101,2013-07-25,maliovitsa-skyrun-2,/maliovitsa-skyrun-2/,Maliovitsa skyrun,410,
1184,2013-08-19,september-run,/september-run/,September run,410,
1273,2013-09-24,birthday-run-zheleznitsa,/birthday-run-zheleznitsa/,Birthday Run Железница,410,
1353,2013-10-22,the-cactus-run,/the-cactus-run/,The Cactus Run – 10.11.2013,410,
1495,2013-11-25,koledno-byagane-2,/koledno-byagane-2/,The Christmas Run,410,
1629,2014-01-05,golyam-sechko-run,/golyam-sechko-run/,Golyam Sechko Run,410,
1694,2014-01-27,malak-sechko-run,/malak-sechko-run/,Malak Sechko Run,410,
1739,2014-03-02,baba-marta-run,/baba-marta-run/,Baba Marta Run,410,
1778,2014-04-01,vladaya-eco-run,/vladaya-eco-run/,Vladaya Eco Run,410,
1985,2014-04-02,baba-marta-run14,/baba-marta-run14/,Baba Marta Run&#8217;14,410,
2038,2014-05-08,simeonovo-run,/simeonovo-run/,Simeonovo Run,301,
2063,2014-05-22,7-hills-run,/7-hills-run/,7 Hills Run,410,
2106,2014-06-17,buhovo-run14,/buhovo-run14/,Buhovo Run&#8217;14,410,
2173,2014-07-24,bankya-summer-run,/bankya-summer-run/,Bankya Summer Run / Лятно Бягане Банкя,301,
2210,2014-09-03,iran-run,/iran-run/,iRan Run,301,
2262,2014-09-25,birthday-run-2-0,/birthday-run-2-0/,Birthday Run 2.0,410,
2305,2014-10-24,the-cactus-run-2014,/the-cactus-run-2014/,The Cactus Run 2014,410,
2337,2014-10-28,running-zone-challenge,/running-zone-challenge/,Running Zone Challenge,410,
2386,2014-11-21,the-christmas-run-2014,/the-christmas-run-2014/,The Christmas Run&#8217;14,410,
2454,2014-12-22,golyam-sechko-run15,/golyam-sechko-run15/,Golyam Sechko Run&#8217;15,410,
2499,2015-02-02,malak-sechko-run-2015,/malak-sechko-run-2015/,Malak Sechko Run&#8217;15,410,
2535,2015-03-04,baba-marta-run15,/baba-marta-run15/,Baba Marta Run&#8217;15,410,
2568,2015-03-19,buhovo-run-2-0,/buhovo-run-2-0/,Buhovo Run 2.0,410,
2614,2015-04-06,ignitesofia,/ignitesofia/,ignitesofia,410,
2637,2015-04-08,7-hills-run15,/7-hills-run15/,7 Hills Run&#8217;15,301,
2696,2015-04-17,livity,/livity/,Livity,410,
2719,2015-05-01,palakaria,/palakaria/,Палакария,301,
2758,2015-05-25,simeonovo-run15,/simeonovo-run15/,Simeonovo Run,410,
2796,2015-07-01,pancharevo-night-run,/pancharevo-night-run/,Pancharevo Night Run,301,
2843,2015-09-03,iran-run-2015,/iran-run-2015/,iRan Run 2015,410,
2293,2015-10-09,birthday-run-3,/birthday-run-3/,Birthday Run 3.0,301,
2922,2015-10-27,the-cactus-run-2015,/the-cactus-run-2015/,The Cactus Run,410,
2953,2015-12-04,the-christmas-run-2015,/the-christmas-run-2015/,The Christmas Run,410,
3007,2016-01-08,golyam-sechko-run-2016,/golyam-sechko-run-2016/,Golyam Sechko Run,410,
3049,2016-02-03,running-zone-challenge16,/running-zone-challenge16/,Running Zone Challenge&#8217;16,410,
3061,2016-02-04,malak-sechko-run16,/malak-sechko-run16/,Malak Sechko Run&#8217;16,410,
3093,2016-03-06,baba-marta-run16,/baba-marta-run16/,Baba Marta Run&#8217;16,410,
3121,2016-03-28,7-hills-run16,/7-hills-run16/,7 Hills Run&#8217;16,410,
3160,2016-05-10,pancharevo-night-run-2016,/pancharevo-night-run-2016/,Pancharevo Night Run 2016,410,
3193,2016-06-05,lyulin-trail-run,/lyulin-trail-run/,Lyulin Trail Run,301,
3229,2016-07-21,palakaria-2016,/palakaria-2016/,Palakaria 2016,410,
3261,2016-08-16,simeonovo-run-2016,/simeonovo-run-2016/,Simeonovo Run 2016,410,
3287,2016-09-14,iran-run-2016,/iran-run-2016/,Iran Run 2016,410,
3329,2016-10-05,birthday-run-4-years-trail-series,/birthday-run-4-years-trail-series/,Birthday Run – 4 Years – Trail Series,410,
3362,2016-10-25,the-cactus-run-2016,/the-cactus-run-2016/,The Cactus Run 2016,410,
3398,2016-11-30,the-christmas-run-2016,/sabitia/the-christmas-run-2016/,The Christmas Run 2016,410,hierarchical (/sabitia/)
3433,2017-01-05,golyam-sechko-run-17,/golyam-sechko-run-17/,Golyam Sechko Run&#8217;17,410,
3462,2017-01-18,malak-sechko-run17,/malak-sechko-run17/,Malak Sechko Run&#8217;17,301,
